BOROBOX,BOX_TYPE,LOCATION,ZIP,BOROUGH,COMMUNITYDISTICT,CITYCOUNCIL,LATITUDE,LONGITUDE,Location Point
Q9865,BARS,85 AVE & 211 ST,11427,Queens,QN11,23,40.72961295,-73.75803474,POINT (-73.75803474 40.72961295)
X2339,ERS,UNION AVE & E 161 ST,10459,Bronx,BX01,17,40.82080316,-73.90266819,POINT (-73.90266819 40.82080316)
B0361,ERS,HARRISON AVE & FLUSHING AVE,11206,Brooklyn,BK03,36,40.70012281,-73.94712762,POINT (-73.94712762 40.70012281)
M1633,ERS,CONVENT AVE & W 147 ST,10031,Manhattan,MN09,7,40.82594787,-73.94527685,POINT (-73.94527685 40.82594787)
M1237,ERS,5 AVE & E 96 ST,83,Manhattan,MN11,6,40.78791392,-73.95577736,POINT (-73.95577736 40.78791392)
B2693,ERS,FORT HAMILTON PWAY & 51 ST,11219,Brooklyn,BK12,44,40.63752995,-73.99916998,POINT (-73.99916998 40.63752995)
B0168,BARS,KINGSLAND AVE & DRIGGS AVE,11222,Brooklyn,BK01,33,40.72336497,-73.94127249,POINT (-73.94127249 40.72336497)
B1071,ERS,CLASSON AVE & EASTERN PWAY,11225,Brooklyn,BK09,35,40.67124391,-73.96127643,POINT (-73.96127643 40.67124391)
B0970,ERS,CLASSON AVE & FULTON ST,11238,Brooklyn,BK03,35,40.68174248,-73.95858567,POINT (-73.95858567 40.68174248)
Q0039,BARS,LGA - MAIN TERM BLDG - TRUCK RAMP,11371,Queens,LGA,21,40.77443067,-73.87223688,POINT (-73.87223688 40.77443067)
Q1195,ERS,ROCKAWAY BEACH BLVD & BEACH 38 ST,11691,Queens,QN14,31,40.59459034,-73.77035842,POINT (-73.77035842 40.59459034)
B2369,ERS,RALPH AVE OPP E 76 ST,11236,Brooklyn,BK18,46,40.63589362,-73.91900629,POINT (-73.91900629 40.63589362)
B0178,BARS,METROPOLITAN AVE & MORGAN AVE,11211,Brooklyn,BK01,34,40.71445704,-73.93528872,POINT (-73.93528872 40.71445704)
M1366,ERS,PARK AVE & E 114 ST,10029,Manhattan,MN11,8,40.79806365,-73.94389518,POINT (-73.94389518 40.79806365)
X2163,ERS,WILLIS AVE & E 140 ST,10454,Bronx,BX01,8,40.8104056,-73.92194972,POINT (-73.92194972 40.8104056)
Q7673,BARS,DITMARS BLVD & 81 ST,11370,Queens,LGA,22,40.76891624,-73.88872551,POINT (-73.88872551 40.76891624)
R2443,BARS,RIEDEL AVE & THOMAS ST/RVFD,10306,Staten Island,SI03,50,40.56669715,-74.13084638,POINT (-74.13084638 40.56669715)
X3073,ERS,E TREMONT AVE & TAYLOR AVE,10460,Bronx,BX09,18,40.8403438,-73.86724819,POINT (-73.86724819 40.8403438)
R0775,BARS,PORT RICHMOND AVE & HOOKER PL,10302,Staten Island,SI01,49,40.63024163,-74.13990825,POINT (-74.13990825 40.63024163)
Q3157,ERS,KEW GARDENS RD & LEFFERTS BLVD,11415,Queens,QN09,29,40.71063163,-73.82761914,POINT (-73.82761914 40.71063163)
Q7978,BARS,68 AVE & 218 ST,11364,Queens,QN11,23,40.74349505,-73.75708973,POINT (-73.75708973 40.74349505)
B1607,ERS,UTICA AVE & UNION ST,11213,Brooklyn,BK09,35,40.66782448,-73.93121322,POINT (-73.93121322 40.66782448)
B1560,ERS,BEDFORD AVE & TILDEN AVE,11226,Brooklyn,BK14,40,40.64663041,-73.95565196,POINT (-73.95565196 40.64663041)
R0621,BARS,HYLAN BLVD & BAY ST,10305,Staten Island,SI01,49,40.61408888,-74.06613391,POINT (-74.06613391 40.61408888)
Q4820,BARS,CLINTONVILLE ST & S SVC RD CROSS IS PWAY,11357,Queens,QN07,19,40.78637003,-73.80972153,POINT (-73.80972153 40.78637003)
R3823,BARS,WIMAN AVE & TENNYSON DR,10308,Staten Island,SI03,51,40.53836578,-74.14381785,POINT (-74.14381785 40.53836578)
X3357,ERS,JEROME AVE & E 190 ST,10468,Bronx,BX07,14,40.86378763,-73.90027587,POINT (-73.90027587 40.86378763)
Q2521,ERS,130 AVE & 148 ST,11436,Queens,QN12,28,40.67008383,-73.79066166,POINT (-73.79066166 40.67008383)
R3776,ERS,HUGUENOT AVE & RAILY CT,10312,Staten Island,SI03,51,40.55268943,-74.20185089,POINT (-74.20185089 40.55268943)
R2860,ERS,W/END REDWOOD AVE AT EVERGREEN ST/RVFD,10308,Staten Island,SI03,51,40.55821828,-74.1434934,POINT (-74.1434934 40.55821828)
Q6601,BARS,HILLSIDE AVE & 170 ST,11432,Queens,QN12,24,40.71106937,-73.79202855,POINT (-73.79202855 40.71106937)
B0446,ERS,WASHINGTON ST & FRONT ST,11201,Brooklyn,BK02,33,40.70252323,-73.98962349,POINT (-73.98962349 40.70252323)
M1675,ERS,AMSTERDAM AVE & W 158 ST,10032,Manhattan,MN12,7,40.83348747,-73.94157724,POINT (-73.94157724 40.83348747)
Q7826,BARS,NORTHERN BLVD & 76 ST,11372,Queens,QN03,25,40.75497374,-73.89094769,POINT (-73.89094769 40.75497374)
B2090,ERS,LIVONIA AVE & HERZL ST,11212,Brooklyn,BK16,41,40.66185406,-73.91360382,POINT (-73.91360382 40.66185406)
